категория;Поисковые слова;Категория поисковых слов;Наименование поставщика социальных услуг;Адрес места нахождения поставщика социальных услуг;Описание;Контактная информация поставщика социальных услуг (телефоны, адрес электронной почты...);Сайт;Иконка;pos;Пресет;Район
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат ветеранов войны и труда «Красная Звезда»;197729, г Санкт-Петербург, п. Смолячково, ш. Приморское, д. 676;* Пример описания;433-24-60;http://redstar.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.500907 60.181504;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат для престарелых и инвалидов №1»;197341, г Санкт-Петербург, ул. Поклонногорская, д. 52;* Пример описания;417-56-22;http://dipi1.ksp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.30207 60.020548;islands#blueIcon;территория Коломяги
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат для престарелых и инвалидов»;198515, г Санкт-Петербург, п. Стрельна, ш. Санкт-Петербургское, д. 98/1,  Литер А;* Пример описания;421-40-98;http://dpi-5.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.024805 59.853704;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Геронтологический Центр»;196607, г Санкт-Петербург, г. Пушкин, ул. Школьная, д. 2;* Пример описания;466-64-62;http://gu80.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.401936 59.728855;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Гармония»;195112, г Санкт-Петербург, пр-кт. Новочеркасский, д. 33, корп. 3,  Литер А;* Пример описания;702-04-90;https://http://http://garmonia-group.ru/sidelki;<i class="fas fa-hand-holding-medical"></i>;30.406508 59.931283;islands#blueIcon;жилой комплекс Новый Город
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургская еврейская благотворительная общественная организация инвалидов «ЕВА»;190000, г Санкт-Петербург, наб. Реки Мойки, д. 60,  Литер А;* Пример описания;571-19-60,  315-21-50;http://eva.spb.ru/kak-poluchit-uslugi/;<i class="fas fa-hand-holding-medical"></i>;30.313317 59.932175;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека Комфорт»;194044, г Санкт-Петербург, пр-кт. Большой Сампсониевский, д. 4-6,  Литер А;* Пример описания;242-50-42, 8-800-555-54-03, +7-963-304-95-72;https://sgc-opeca.ru/spb/nashi-uslugi/uslugi-sidelok/;<i class="fas fa-hand-holding-medical"></i>;30.343914 59.957354;islands#blueIcon;Выборгский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Межрегиональная общественная организация инвалидов и пенсионеров «Еврейский Благотворительный Центр «Забота - Хэсэд Авраам»;197110, г Санкт-Петербург, ул. Большая Разночинная, д. 25,  Литер А;* Пример описания;448-60-10;http://hesed.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.286897 59.961489;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское региональное общественное учреждение социального обслуживания граждан пожилого возраста и инвалидов «Свет»;191186, г Санкт-Петербург, пр-кт. Невский, д. 44,  Литер А;* Пример описания;570-62-43, 710-43-55;http://http://light-spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.333251 59.935372;islands#blueIcon;Центральный район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Агентство ЮСИ»;195112, г Санкт-Петербург, ул. Республиканская, д. 24, корп. 1,  Строение 1;* Пример описания;966-91-77;http://socmeduslugi.ru;<i class="fas fa-hand-holding-medical"></i>;30.413964 59.933988;islands#blueIcon;муниципальный округ Малая Охта
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургская ассоциация общественных объединений родителей детей-инвалидов «ГАООРДИ»;192174, г Санкт-Петербург, пр-кт. Обуховской Обороны, д. 199;* Пример описания;362-76-78;https://http://gaoordi.ru/;<i class="fas fa-hand-holding-medical"></i>;30.461278 59.86799;islands#blueIcon;Невский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека»;196643, г Санкт-Петербург, п. Понтонный, ул. Клубная, д. 5,  Литер А;* Пример описания;8-800-555-54-03;https://sgc-opeca.ru/spb/nashi-uslugi/uslugi-sidelok/;<i class="fas fa-hand-holding-medical"></i>;30.613929 59.787034;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Леге»;197101, г Санкт-Петербург, ул. Рентгена, д. 7,  Литер А;* Пример описания;336-20-30, 703-02-01;https://zabota365.ru/;<i class="fas fa-hand-holding-medical"></i>;30.321438 59.963863;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Адмиралтейского района Санкт-Петербурга»;190103, г Санкт-Петербург, наб. Реки Фонтанки, д. 152а;* Пример описания;575-44-90;http://http://kcson.admiral.gov.spb.ru/otdelenija-centra/specializirovannye-otdelenija-socialno-medi;<i class="fas fa-hand-holding-medical"></i>;30.28449 59.914958;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петродворцового района Санкт-Петербурга»;198510, г Санкт-Петербург, г. Петергоф, ул. Юты Бондаровской, д. 23,  Литер А;* Пример описания;417-45-53;https://http://kcsonp.ru/index.php/otdeleniya/otdelenie-sotsialnogo-obsluzhivaniya-na-domu;<i class="fas fa-hand-holding-medical"></i>;29.928865 59.862199;islands#blueIcon;Петродворцовый район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Московского района»;196135, г Санкт-Петербург, ул. Ленсовета, д. 4,  Литер А;* Пример описания;241-34-92;https://http://kcson-mosk.ru/f/na_domu_rotated_compressed.pdf;<i class="fas fa-hand-holding-medical"></i>;30.329909 59.860066;islands#blueIcon;Московский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кировского района Санкт-Петербурга»;198097, г Санкт-Петербург, пер. Огородный, д. 30,  Литер А;* Пример описания;746-59-43;https://http://xn--n1afcq.xn--p1ai/otdeleniya/osod.html;<i class="fas fa-hand-holding-medical"></i>;30.275094 59.885751;islands#blueIcon;Кировский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красногвардейского района»;195213, г Санкт-Петербург, пр-кт. Новочеркасский, д. 48,  Литер А;* Пример описания;444-14-30;https://csonkr.ru/otdelenia/otdeleniya-sotsialnogo-obsluzhivaniya-na-domu-grazhdan-pozhilogo-vozrast;<i class="fas fa-hand-holding-medical"></i>;30.419237 59.923739;islands#blueIcon;территория Малая Охта
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Калининского района Санкт-Петербурга»;195009, г Санкт-Петербург, ул. Комиссара Смирнова, д. 5/7;* Пример описания;542-05-79;http://http://kcson.kalin.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu/;<i class="fas fa-hand-holding-medical"></i>;30.352483 59.962859;islands#blueIcon;Калининский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Невского района»;192174, г Санкт-Петербург, ул. Седова, д. 122,  Литер А;* Пример описания;576-10-40;https://kcsonnev.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.444534 59.868076;islands#blueIcon;Невский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Выборгского района»;194100, г Санкт-Петербург, пр-кт. Лесной, д. 37,  Литер К;* Пример описания;248-18-66;http://http://kcsonv.vyb.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu/;<i class="fas fa-hand-holding-medical"></i>;30.345342 59.980425;islands#blueIcon;Выборгский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Пушкинского района»;196607, г Санкт-Петербург, г. Пушкин, ул. Новая, д. 28,  Литер А;* Пример описания;476-66-82;http://http://kcsonpushkin.pushkin.gov.spb.ru/nashi-otdelenija/osod/;<i class="fas fa-hand-holding-medical"></i>;30.412698 59.726374;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга»;191144, г Санкт-Петербург, ул. Мытнинская, д. 13,  Литер А;* Пример описания;274-37-56;http://http://kcson-crspb.ru/content/department/otdel-soc-obsl-na-domu.html;<i class="fas fa-hand-holding-medical"></i>;30.378265 59.933929;islands#blueIcon;территория Пески
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района»;198332, г Санкт-Петербург, пр-кт. Маршала Жукова, д. 37, корп. 3,  Литер А;* Пример описания;242-38-20;http://kcson.ucoz.org/index/otdelenija_socialnogo_obsluzhivanija_na_domu/0-12;<i class="fas fa-hand-holding-medical"></i>;30.220638 59.854847;islands#blueIcon;Красносельский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Приморского района Санкт-Петербурга»;197183, г Санкт-Петербург, наб. Чёрной речки, д. 18;* Пример описания;409-74-70;http://kcsonprim.ru/department/oso-osmo/;<i class="fas fa-hand-holding-medical"></i>;30.293347 59.989391;islands#blueIcon;территория Новая Деревня
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;490-49-85;http://http://kcson-fr.frunz.gov.spb.ru/otdelenija/osod-sosmod/;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кронштадтского района Санкт-Петербурга»;197760, г Санкт-Петербург, г. Кронштадт, пр-кт. Ленина, д. 15,  Литер А;* Пример описания;311-00-58;http://guktcsonkror.akrns.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu-grazhda;<i class="fas fa-hand-holding-medical"></i>;29.765919 59.99701;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Курортного района»;197706, г Санкт-Петербург, г. Сестрорецк, ул. Токарева, д. 15;* Пример описания;434-10-11;http://http://kcson-kurort.ru/otdeleniya-po-obsluzhivaniyu-grazhd;<i class="fas fa-hand-holding-medical"></i>;29.95665 60.090872;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петроградского района Санкт-Петербурга»;197101, г Санкт-Петербург, ул. Большая Монетная, д. 17-19,  Литер Д;* Пример описания;498-09-60;http://kcsonpetrograd.aptrg.gov.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.318114 59.961179;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Стахановская, д. 17;* Пример описания;242-32-65;http://http://kcson-kolp.ru/departments/3/;<i class="fas fa-hand-holding-medical"></i>;30.590546 59.745186;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр Василеостровского района»;199178, г Санкт-Петербург, линия. 17-я В.О., д. 18, корп. 3,  Литер А;* Пример описания;576-27-35;http://http://gu87.site.gov.spb.ru/struktura-centra/otdelenija-socialnogo-obsluzhivanija-na-domu-gra;<i class="fas fa-hand-holding-medical"></i>;30.266398 59.937107;islands#blueIcon;Василеостровский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Система Забота»;197101, г Санкт-Петербург, ул. Рентгена, д. 7;* Пример описания;336-20-30, 703-02-01;https://zabota365.ru/;<i class="fas fa-hand-holding-medical"></i>;30.321438 59.963863;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «СОЦИАЛЬНАЯ СЛУЖБА ПОМОЩНИК»;196006, г Санкт-Петербург, пр-кт. Лиговский, д. 254,  Литер К;* Пример описания;335-08-76, +7-925-211-46-15;https://http://seniorgroup.ru/services/patronazh-na-domu-v-spb/;<i class="fas fa-hand-holding-medical"></i>;30.335047 59.896043;islands#blueIcon;Московский район
Граждане пожилого возраста;Социальный работник/сиделка;Общие;Межрегиональная общественная организация «Ассоциация ветеранов, инвалидов и пенсионеров»;190005, г Санкт-Петербург, ул. 3-я Красноармейская, д. 10,  Литер А;* Пример описания;317-85-53;https://avip-spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.313452 59.91443;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Экстренная помощь «тревожная кнопка»;Общие;ООО «Гармония»;195112, г Санкт-Петербург, пр-кт. Новочеркасский, д. 33, корп. 3,  Литер А;* Пример описания;702-04-90;https://http://http://garmonia-group.ru/trevozhnaya-knopka;<i class="fas fa-hand-holding-medical"></i>;30.406508 59.931283;islands#blueIcon;жилой комплекс Новый Город
Граждане пожилого возраста;Экстренная помощь «тревожная кнопка»;Общие;ООО «Леге»;197101, г Санкт-Петербург, ул. Рентгена, д. 7,  Литер А;* Пример описания;336-20-30, 703-02-01;https://zabota365.ru/maintenance/button/spb/;<i class="fas fa-hand-holding-medical"></i>;30.321438 59.963863;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Экстренная помощь «тревожная кнопка»;Общие;ООО «Система Забота»;197101, г Санкт-Петербург, ул. Рентгена, д. 7;* Пример описания;336-20-30, 703-02-01;https://zabota365.ru;<i class="fas fa-hand-holding-medical"></i>;30.321438 59.963863;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Экстренная помощь «тревожная кнопка»;Общие;ООО «Титан Сервис»;195276, г Санкт-Петербург, ул. Тимуровская, д. 8, корп. 1;* Пример описания;600-02-00;http://6000200.ru;<i class="fas fa-hand-holding-medical"></i>;30.395962 60.046108;islands#blueIcon;Калининский район
Инвалиды трудоспособного возраста;Организация сопровождаемого проживания;Общие;Санкт-Петербургская ассоциация общественных объединений родителей детей-инвалидов «ГАООРДИ»;192174, г Санкт-Петербург, пр-кт. Обуховской Обороны, д. 199;* Пример описания;362-76-78;https://http://gaoordi.ru/projects/10/;<i class="fas fa-hand-holding-medical"></i>;30.461278 59.86799;islands#blueIcon;Невский район
Инвалиды трудоспособного возраста;Организация сопровождаемого проживания;Общие;Автономная некоммерческая организация дополнительного образования и социального обслуживания «Новые перспективы»;190013, г Санкт-Петербург, ул. Рузовская, д. 9,  Литер А;* Пример описания;320-06-43;https://perspektivy.ru/projects/razdol/;<i class="fas fa-hand-holding-medical"></i>;30.327376 59.917402;islands#blueIcon;Адмиралтейский район
Инвалиды трудоспособного возраста;Организация сопровождаемого проживания;Общие;Межрегиональная общественная организация инвалидов и пенсионеров «Еврейский Благотворительный Центр «Забота - Хэсэд Авраам»;197110, г Санкт-Петербург, ул. Большая Разночинная, д. 25,  Литер А;* Пример описания;448-60-10б;http://hesed.spb.ru/program/;<i class="fas fa-hand-holding-medical"></i>;30.286897 59.961489;islands#blueIcon;Петроградский район
Инвалиды трудоспособного возраста;Организация сопровождаемого проживания;Общие;Автономная некоммерческая организация «Санкт-Петербургский Центр социальной адаптации, реабилитации и абилитации»;197110, г Санкт-Петербург, ул. Глухая Зеленина, д. 6,  Литер А;* Пример описания;+7 (800) 700-91-63, +7 (965) 051-32-33;https://csa.spb.socinfo.ru/;<i class="fas fa-hand-holding-medical"></i>;30.282936 59.964147;islands#blueIcon;муниципальный округ Чкаловское
Инвалиды трудоспособного возраста;Организация сопровождаемого проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Адмиралтейского района Санкт-Петербурга»;190020, г Санкт-Петербург, ул. Курляндская, д. 32,  Литер А;* Пример описания;575-15-01;http://stbyst.spb.ru/?page_id=20;<i class="fas fa-hand-holding-medical"></i>;30.27866 59.91157;islands#blueIcon;Адмиралтейский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Московская Местная Организация Санкт-Петербургская Городская Организация Общероссийская Общественная Организация «Всероссийское Общество Инвалидов»;196158, г Санкт-Петербург, ш. Московское, д. 16, корп. 1;* Пример описания;373-97-88;http://pobedanw.ru;<i class="fas fa-hand-holding-medical"></i>;30.338101 59.834827;islands#blueIcon;Московский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Региональный общественный благотворительный Фонд социальной реабилитации и помощи инвалидам «КЕДР»;190068, г Санкт-Петербург, пр-кт. Римского-Корсакова, д. 37;* Пример описания;713-81-11;http://fond-kedr.ru;<i class="fas fa-hand-holding-medical"></i>;30.298665 59.923577;islands#blueIcon;Адмиралтейский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургская ассоциация общественных объединений родителей детей-инвалидов «ГАООРДИ»;192174, г Санкт-Петербург, пр-кт. Обуховской Обороны, д. 199;* Пример описания;362-76-78;http://gaoordi.ru;<i class="fas fa-hand-holding-medical"></i>;30.461278 59.86799;islands#blueIcon;Невский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Автономная некоммерческая организация «Санкт-Петербургский Центр социальной адаптации, реабилитации и абилитации»;197110, г Санкт-Петербург, ул. Глухая Зеленина, д. 6,  Литер А;* Пример описания;+7 (800) 700-91-63, +7 (965) 051-32-33;http://csa-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.282936 59.964147;islands#blueIcon;муниципальный округ Чкаловское
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Курортного района»;197706, г Санкт-Петербург, г. Сестрорецк, ул. Токарева, д. 15;* Пример описания;434-10-11;http://kcson-kurort.ru;<i class="fas fa-hand-holding-medical"></i>;29.95665 60.090872;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Невского района Санкт-Петербурга»;193312, г Санкт-Петербург, ул. Чудновского, д. 4, корп. 1;* Пример описания;576-10-80;http://csridi.ru;<i class="fas fa-hand-holding-medical"></i>;30.477547 59.92938;islands#blueIcon;Невский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Петроградского района Санкт-Петербурга»;197022, г Санкт-Петербург, пр-кт. Большой П.С., д. 100,  Литер А;* Пример описания;234-90-74;http://csridipetrograd.aptrg.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.313047 59.966719;islands#blueIcon;Петроградский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Кронштадтского района Санкт-Петербурга»;197760, г Санкт-Петербург, г. Кронштадт, ул. Зосимова, д. 44,  Литер А;* Пример описания;311-97-85;http://csri.akrns.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.757484 59.993694;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Колпинского района Санкт-Петербурга «Поддержка»;196655, г Санкт-Петербург, г. Колпино, ул. Красная, д. 12а;* Пример описания;246-32-06;http://csrp-kolp.ru;<i class="fas fa-hand-holding-medical"></i>;30.604128 59.743767;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Кировского района Санкт-Петербурга»;198096, г Санкт-Петербург, ул. Маринеско, д. 2/7,  Литер А;* Пример описания;785-05-77;http://csr-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.264413 59.870271;islands#blueIcon;территория Автово
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Калининского района Санкт-Петербурга»;195252, г Санкт-Петербург, ул. Карпинского, д. 38, корп. 4,  Литер А;* Пример описания;242-32-13;http://centr-k-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.427358 60.013942;islands#blueIcon;Калининский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Красносельского района Санкт-Петербурга»;198328, г Санкт-Петербург, пр-кт. Героев, д. 24, корп. 2,  Литер А;* Пример описания;618-60-57;http://reabcentr.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.164709 59.862054;islands#blueIcon;Красносельский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Красногвардейского района Санкт-Петербурга»;195112, г Санкт-Петербург, пр-кт. Заневский, д. 27,  Литер А;* Пример описания;577-71-72;http://krcsr532.ru;<i class="fas fa-hand-holding-medical"></i>;30.415725 59.928492;islands#blueIcon;территория Малая Охта
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Петродворцового района Санкт-Петербурга»;198412, г Санкт-Петербург, г. Ломоносов, пр-кт. Дворцовый, д. 40;* Пример описания;423-56-84;http://csridi.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.768048 59.915301;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Пушкинского района Санкт-Петербурга»;196607, г Санкт-Петербург, г. Пушкин, ул. Пушкинская, д. 10/20,  Литер А;* Пример описания;241-57-96;http://gu83.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.402286 59.723271;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов»;196607, г Санкт-Петербург, г. Пушкин, б-р. Алексея Толстого, д. 31;* Пример описания;451-69-09;http://gu57.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.414844 59.73301;islands#blueIcon;Некоммерческие организации
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Адмиралтейского района Санкт-Петербурга»;190020, г Санкт-Петербург, ул. Курляндская, д. 32,  Литер А;* Пример описания;575-15-01;http://stbyst.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.27866 59.91157;islands#blueIcon;Адмиралтейский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Центрального района Санкт-Петербурга»;191119, г Санкт-Петербург, ул. Марата, д. 65/20,  Литер А;* Пример описания;246-22-20;http://gutcsriditsr.acentr.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.345234 59.921642;islands#blueIcon;Центральный район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Выборгского района»;194156, г Санкт-Петербург, пр-кт. Большой Сампсониевский, д. 98;* Пример описания;246-38-92, 246-32-22;http://creab.vyb.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.33264 59.989738;islands#blueIcon;Выборгский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Московского района»;196211, г Санкт-Петербург, пр-кт. Космонавтов, д. 31,  Литер А;* Пример описания;645-79-02;http://срци.рф;<i class="fas fa-hand-holding-medical"></i>;30.349465 59.857039;islands#blueIcon;Московский район
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Приморского района Санкт-Петербурга»;197082, г Санкт-Петербург, пр-кт. Богатырский, д. 48, корп. 1,  Литер А;* Пример описания;616-04-46;http://csridiprim.ru;<i class="fas fa-hand-holding-medical"></i>;30.221338 60.003862;islands#blueIcon;территория Северо-Приморская часть
Инвалиды трудоспособного возраста;Профессиональная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Фрунзенского района Санкт-Петербурга»;192281, г Санкт-Петербург, б-р. Загребский, д. 25,  Литер А;* Пример описания;776-59-51;http://csri.ru;<i class="fas fa-hand-holding-medical"></i>;30.405484 59.838177;islands#blueIcon;Фрунзенский район
